,post
0,"This is 'NavaKerala' under CPM regime!: Kerala's DPI ( Head of school education), S Shanavas, IAS hits out; 'even those students who couldn't write their name are given A+ grade in Xth Std public exams....'.
Don't forget qualified students who comes out of +2 exams are leaving…"
1,"All these elections don't matter. Look at the election results in Kerala varma college. 

 #navakerala  sad-ass"
2,"#നവകേരള_സദസ്സിന്റെ ഭാഗമായി വട്ടിയൂർക്കാവ് മണ്ഡലത്തിൽ വിവിധ കായിക മത്സരങ്ങൾ സംഘടിപ്പിക്കുന്നു ...
കായിക മത്സരങ്ങളിൽ പങ്കെടുക്കാൻ താല്പര്യമുള്ളവർ താഴെ കാണുന്ന നമ്പറിൽ ബന്ധപ്പെടുക 
#NavaKerala_Sadass"
3,"Navakerala BS is happening in Perumbavoor tomorrow and day after, announcement vehicle is passing by ...
Chumma onnu Boys il poyi kandalo , enthokke koprayam anennu ariyalo"
4,"#UDF in #Kerala is protesting against ""demolition"" of portion of compound walls at government schools at Perumbavoor and North Paravur in #Ernakulam district for #navakeralasadas"
